,United Arab Emirates,Argentina,Australia,"Bolivia, Plurinational State of",Brazil,Canada,Switzerland,Chile,China,Colombia,Costa Rica,Germany,Dominican Republic,Algeria,Ecuador,Egypt,Spain,France,United Kingdom of Great Britain and Northern Ireland,Guatemala,Honduras,Indonesia,India,Italy,Japan,"Korea, Republic of",Morocco,Mexico,Nigeria,Nicaragua,Netherlands,Panama,Peru,Philippines,Pakistan,Puerto Rico,Paraguay,Sweden,El Salvador,Tunisia,Turkey,United States of America,Uruguay,"Venezuela, Bolivarian Republic of"
"Wednesday 01, February 2017",129,999,184,936,1255,924,108,669,111,3095,1012,733,686,180,3339,204,1838,1418,763,963,432,159,308,371,150,108,198,607764,168,491,194,268,3418,131,181,152,185,108,615,116,114,15470,127,549
"Thursday 02, February 2017",129,1003,184,938,1255,933,113,671,109,3093,1012,739,686,180,3334,204,1839,1420,767,963,433,159,311,372,151,110,200,607735,168,490,195,270,3425,131,181,153,184,108,614,116,115,15454,126,547
"Friday 03, February 2017",128,1005,183,938,1256,934,113,671,109,3090,1014,739,684,180,3340,203,1842,1414,766,961,430,159,309,375,150,109,200,607713,168,490,196,269,3422,130,181,154,184,112,616,116,114,15467,125,547
"Saturday 04, February 2017",129,1004,186,939,1258,934,113,669,104,3096,1012,740,684,181,3341,203,1858,1421,764,963,433,159,310,374,150,109,200,607647,168,492,196,267,3422,130,181,154,182,110,615,116,115,15474,125,546
"Sunday 05, February 2017",129,1006,186,938,1259,947,114,672,108,3101,1012,744,689,181,3345,203,1863,1430,764,962,432,159,308,374,149,109,200,607881,169,493,195,268,3423,130,181,153,182,112,615,116,116,15475,125,546
"Monday 06, February 2017",128,1003,188,937,1260,942,115,676,103,3109,1012,750,688,181,3346,205,1876,1434,760,962,430,159,309,377,149,109,200,607968,169,494,198,267,3424,129,180,154,182,113,616,116,116,15483,125,546
"Tuesday 07, February 2017",128,1000,190,937,1262,949,116,673,108,3106,1013,750,689,181,3346,207,1871,1434,763,959,430,159,308,378,149,108,201,608030,170,496,198,269,3420,129,179,155,182,111,617,116,115,15478,125,547
"Wednesday 08, February 2017",130,999,190,939,1262,956,117,673,104,3109,1015,755,687,181,3345,208,1880,1436,765,962,430,159,309,382,150,110,200,608033,171,495,199,269,3418,129,179,154,182,112,616,115,115,15466,123,546
"Thursday 09, February 2017",130,999,190,940,1262,956,117,673,104,3110,1015,755,687,180,3345,208,1880,1436,766,962,430,159,309,383,150,111,200,607966,171,496,199,269,3420,129,180,154,182,113,616,115,115,15464,123,546
"Friday 10, February 2017",130,998,191,943,1261,951,118,673,107,3143,1014,756,688,180,3346,208,1877,1445,768,962,431,159,307,381,151,110,200,607971,170,496,198,270,3423,129,180,153,181,112,618,115,114,15476,123,548
"Saturday 11, February 2017",127,997,192,942,1260,958,119,671,108,3183,1017,757,688,180,3346,208,1886,1444,770,961,432,159,307,382,151,110,198,607921,171,497,200,272,3428,129,180,154,182,111,616,115,113,15449,123,548
"Sunday 12, February 2017",133,1000,193,943,1258,957,120,669,105,3216,1015,763,687,180,3345,208,1900,1452,778,962,431,158,308,382,152,109,197,607962,171,496,198,270,3422,129,180,154,183,111,617,115,112,15437,123,548
"Monday 13, February 2017",133,1001,193,942,1258,957,120,669,105,3249,1015,764,687,180,3347,208,1900,1452,778,962,430,158,308,382,152,109,197,607954,171,496,198,271,3422,129,180,154,183,111,617,115,112,15439,123,548
"Tuesday 14, February 2017",135,999,197,945,1259,955,122,670,107,3259,1016,767,687,180,3343,207,1925,1448,776,962,429,157,308,382,151,108,196,607934,172,497,206,274,3419,129,180,154,183,112,619,115,111,15431,125,549
