,hide_clicks,hide_all_clicks,report_spam_clicks,unlike_page_clicks,xbutton_clicks
"Wednesday 01, February 2017",7,2,0,0,0
"Thursday 02, February 2017",5,0,0,0,0
"Friday 03, February 2017",11,6,0,0,0
"Saturday 04, February 2017",11,0,0,0,0
"Sunday 05, February 2017",16,5,1,0,0
"Monday 06, February 2017",9,3,0,0,0
"Tuesday 07, February 2017",2,4,0,0,0
"Wednesday 08, February 2017",4,2,0,0,0
"Thursday 09, February 2017",6,1,0,0,0
"Friday 10, February 2017",2,1,0,0,0
"Saturday 11, February 2017",12,1,0,0,0
"Sunday 12, February 2017",5,4,0,0,0
"Monday 13, February 2017",4,1,0,0,0
"Tuesday 14, February 2017",2,2,0,0,0
"Wednesday 15, February 2017",12,4,0,0,0
"Thursday 16, February 2017",3,3,0,0,0
"Friday 17, February 2017",6,1,0,0,0
"Saturday 18, February 2017",4,1,0,0,0
"Sunday 19, February 2017",0,0,0,0,0
"Monday 20, February 2017",0,0,0,0,0
"Tuesday 21, February 2017",19,4,0,0,0
"Wednesday 22, February 2017",25,4,0,0,0
"Thursday 23, February 2017",3,2,0,0,0
"Friday 24, February 2017",3,3,0,0,0
"Saturday 25, February 2017",23,18,1,0,0
"Sunday 26, February 2017",13,6,0,0,0
"Monday 27, February 2017",5,1,0,0,0
"Tuesday 28, February 2017",5,1,0,0,0
