,other clicks,video play,photo view,link clicks
"Wednesday 01, February 2017",2162,318,1149,62
"Thursday 02, February 2017",2977,520,1567,171
"Friday 03, February 2017",1232,352,556,340
"Saturday 04, February 2017",4467,1007,1378,148
"Sunday 05, February 2017",38141,14105,595,38
"Monday 06, February 2017",15380,5534,755,15
"Tuesday 07, February 2017",3712,1254,496,4
"Wednesday 08, February 2017",3121,1008,640,217
"Thursday 09, February 2017",2681,656,1147,447
"Friday 10, February 2017",2821,673,797,4528
"Saturday 11, February 2017",2793,682,510,10319
"Sunday 12, February 2017",5361,1659,866,10099
"Monday 13, February 2017",3186,1152,884,9532
"Tuesday 14, February 2017",1745,868,896,5322
"Wednesday 15, February 2017",8151,445,6133,6160
"Thursday 16, February 2017",2835,371,2029,234
"Friday 17, February 2017",2284,505,1215,251
"Saturday 18, February 2017",3642,337,1395,3
"Sunday 19, February 2017",3643,126,1863,6
"Monday 20, February 2017",1449,168,966,4
"Tuesday 21, February 2017",7205,1398,761,9
"Wednesday 22, February 2017",8692,1634,1287,162
"Thursday 23, February 2017",3457,638,2481,23
"Friday 24, February 2017",2115,329,1495,28
"Saturday 25, February 2017",13016,1217,1602,6736
"Sunday 26, February 2017",5501,1308,266,1774
"Monday 27, February 2017",2401,930,350,172
"Tuesday 28, February 2017",4038,713,1651,48
