,normal_unfan,pagelike_deleter_for_deactivated_users
"Wednesday 01, February 2017",15.0,72.0
"Thursday 02, February 2017",19.0,100.0
"Friday 03, February 2017",16.0,102.0
"Saturday 04, February 2017",20.0,119.0
"Sunday 05, February 2017",47.0,88.0
"Monday 06, February 2017",24.0,94.0
"Tuesday 07, February 2017",10.0,78.0
"Wednesday 08, February 2017",15.0,77.0
"Thursday 09, February 2017",13.0,84.0
"Friday 10, February 2017",14.0,79.0
"Saturday 11, February 2017",19.0,90.0
"Sunday 12, February 2017",20.0,57.0
"Monday 13, February 2017",19.0,77.0
"Tuesday 14, February 2017",16.0,82.0
"Wednesday 15, February 2017",47.0,78.0
"Thursday 16, February 2017",13.0,67.0
"Friday 17, February 2017",8.0,84.0
"Saturday 18, February 2017",15.0,62.0
"Sunday 19, February 2017",14.0,93.0
"Monday 20, February 2017",8.0,82.0
"Tuesday 21, February 2017",30.0,78.0
"Wednesday 22, February 2017",25.0,69.0
"Thursday 23, February 2017",17.0,72.0
"Friday 24, February 2017",12.0,90.0
"Saturday 25, February 2017",59.0,78.0
"Sunday 26, February 2017",16.0,95.0
"Monday 27, February 2017",14.0,88.0
"Tuesday 28, February 2017",14.0,77.0
