,like,link,comment,answer,claim,rsvp
"Wednesday 01, February 2017",403,58,42,0,0,0
"Thursday 02, February 2017",802,565,71,0,0,0
"Friday 03, February 2017",648,690,44,0,0,0
"Saturday 04, February 2017",2308,183,49,0,0,0
"Sunday 05, February 2017",10118,1009,409,0,0,0
"Monday 06, February 2017",4236,474,184,0,0,0
"Tuesday 07, February 2017",750,94,38,0,0,0
"Wednesday 08, February 2017",1075,115,113,0,0,0
"Thursday 09, February 2017",1305,648,61,0,0,0
"Friday 10, February 2017",1034,826,50,0,0,0
"Saturday 11, February 2017",1339,235,60,0,0,0
"Sunday 12, February 2017",1820,290,94,0,0,0
"Monday 13, February 2017",835,152,30,0,0,0
"Tuesday 14, February 2017",609,106,22,0,0,0
"Wednesday 15, February 2017",5633,698,687,0,0,0
"Thursday 16, February 2017",1055,94,124,0,0,0
"Friday 17, February 2017",714,167,83,0,0,0
"Saturday 18, February 2017",679,82,128,0,0,0
"Sunday 19, February 2017",718,89,151,0,0,0
"Monday 20, February 2017",421,46,60,0,0,0
"Tuesday 21, February 2017",1919,223,113,0,0,0
"Wednesday 22, February 2017",2904,516,173,0,0,0
"Thursday 23, February 2017",1334,203,96,0,0,0
"Friday 24, February 2017",866,135,75,0,0,0
"Saturday 25, February 2017",7454,1208,305,0,0,0
"Sunday 26, February 2017",2039,287,99,0,0,0
"Monday 27, February 2017",1043,138,45,0,0,0
"Tuesday 28, February 2017",2032,314,114,0,0,0
