,Like,Love,Wow,Haha,Sorry,Anger
"Wednesday 01, February 2017",356.0,46.0,2.0,1.0,0.0,0.0
"Thursday 02, February 2017",700.0,77.0,21.0,2.0,3.0,0.0
"Friday 03, February 2017",558.0,69.0,17.0,4.0,1.0,0.0
"Saturday 04, February 2017",1957.0,165.0,27.0,2.0,161.0,1.0
"Sunday 05, February 2017",8043.0,1430.0,441.0,82.0,135.0,22.0
"Monday 06, February 2017",3593.0,426.0,142.0,59.0,17.0,8.0
"Tuesday 07, February 2017",645.0,63.0,24.0,15.0,3.0,2.0
"Wednesday 08, February 2017",899.0,137.0,26.0,4.0,12.0,0.0
"Thursday 09, February 2017",1135.0,154.0,8.0,7.0,8.0,1.0
"Friday 10, February 2017",913.0,110.0,9.0,2.0,1.0,3.0
"Saturday 11, February 2017",1176.0,152.0,5.0,10.0,1.0,1.0
"Sunday 12, February 2017",1523.0,244.0,7.0,41.0,7.0,4.0
"Monday 13, February 2017",691.0,116.0,11.0,10.0,6.0,1.0
"Tuesday 14, February 2017",500.0,102.0,2.0,5.0,2.0,1.0
"Wednesday 15, February 2017",3997.0,808.0,29.0,708.0,97.0,21.0
"Thursday 16, February 2017",815.0,136.0,10.0,85.0,13.0,2.0
"Friday 17, February 2017",574.0,110.0,7.0,18.0,5.0,2.0
"Saturday 18, February 2017",525.0,120.0,16.0,15.0,3.0,1.0
"Sunday 19, February 2017",574.0,110.0,5.0,32.0,0.0,0.0
"Monday 20, February 2017",328.0,72.0,4.0,20.0,0.0,0.0
"Tuesday 21, February 2017",1547.0,281.0,80.0,9.0,11.0,12.0
"Wednesday 22, February 2017",2076.0,398.0,50.0,36.0,24.0,393.0
"Thursday 23, February 2017",1118.0,188.0,16.0,5.0,2.0,9.0
"Friday 24, February 2017",723.0,124.0,12.0,1.0,3.0,8.0
"Saturday 25, February 2017",6494.0,848.0,58.0,40.0,12.0,11.0
"Sunday 26, February 2017",1764.0,225.0,32.0,9.0,5.0,3.0
"Monday 27, February 2017",917.0,109.0,14.0,2.0,2.0,2.0
"Tuesday 28, February 2017",1469.0,411.0,20.0,3.0,109.0,29.0
